Alignment ID	RT	m.z	2022_12_30_neg_BK_Sfery_23_08_22_B_1_230106030156	2022_12_30_neg_BK_Sfery_23_08_22_B_10_230106082540	2022_12_30_neg_BK_Sfery_23_08_22_B_11_230106090129	2022_12_30_neg_BK_Sfery_23_08_22_B_12_230106093733	2022_12_30_neg_BK_Sfery_23_08_22_B_13_230106101334	2022_12_30_neg_BK_Sfery_23_08_22_B_14_230106104923	2022_12_30_neg_BK_Sfery_23_08_22_B_15_230106112527	2022_12_30_neg_BK_Sfery_23_08_22_B_16_230106120127	2022_12_30_neg_BK_Sfery_23_08_22_B_17_230106123717	2022_12_30_neg_BK_Sfery_23_08_22_B_18_230106131319	2022_12_30_neg_BK_Sfery_23_08_22_B_19_230106134912	2022_12_30_neg_BK_Sfery_23_08_22_B_2_230106033758	2022_12_30_neg_BK_Sfery_23_08_22_B_20_230106142513	2022_12_30_neg_BK_Sfery_23_08_22_B_21_230106150117	2022_12_30_neg_BK_Sfery_23_08_22_B_22_230106153722	2022_12_30_neg_BK_Sfery_23_08_22_B_23_230106161325	2022_12_30_neg_BK_Sfery_23_08_22_B_24_230106164931	2022_12_30_neg_BK_Sfery_23_08_22_B_3_230106041349	2022_12_30_neg_BK_Sfery_23_08_22_B_4_230106044950	2022_12_30_neg_BK_Sfery_23_08_22_B_5_230106052539	2022_12_30_neg_BK_Sfery_23_08_22_B_6_230106060143	2022_12_30_neg_BK_Sfery_23_08_22_B_7_230106063744	2022_12_30_neg_BK_Sfery_23_08_22_B_8_230106071333	2022_12_30_neg_BK_Sfery_23_08_22_B_9_230106074937	2022_12_30_neg_BK_Sfery_23_08_22_S_1_230105123700	2022_12_30_neg_BK_Sfery_23_08_22_S_10_230105180128	2022_12_30_neg_BK_Sfery_23_08_22_S_11_230105183731	2022_12_30_neg_BK_Sfery_23_08_22_S_12_230105191335	2022_12_30_neg_BK_Sfery_23_08_22_S_13_230105194938	2022_12_30_neg_BK_Sfery_23_08_22_S_14_230105202542	2022_12_30_neg_BK_Sfery_23_08_22_S_15_230105210147	2022_12_30_neg_BK_Sfery_23_08_22_S_16_230105213750	2022_12_30_neg_BK_Sfery_23_08_22_S_17_230105221352	2022_12_30_neg_BK_Sfery_23_08_22_S_18_230105224951	2022_12_30_neg_BK_Sfery_23_08_22_S_19_230105232554	2022_12_30_neg_BK_Sfery_23_08_22_S_2_230105131319	2022_12_30_neg_BK_Sfery_23_08_22_S_20_230106000158	2022_12_30_neg_BK_Sfery_23_08_22_S_21_230106003759	2022_12_30_neg_BK_Sfery_23_08_22_S_22_230106011404	2022_12_30_neg_BK_Sfery_23_08_22_S_23_230106015006	2022_12_30_neg_BK_Sfery_23_08_22_S_24_230106022607	2022_12_30_neg_BK_Sfery_23_08_22_S_3_230105134921	2022_12_30_neg_BK_Sfery_23_08_22_S_4_230105142510	2022_12_30_neg_BK_Sfery_23_08_22_S_5_230105150113	2022_12_30_neg_BK_Sfery_23_08_22_S_6_230105153717	2022_12_30_neg_BK_Sfery_23_08_22_S_7_230105161318	2022_12_30_neg_BK_Sfery_23_08_22_S_8_230105164921	2022_12_30_neg_BK_Sfery_23_08_22_S_9_230105172525
0	1.464	65.63137	0	0	0	0	0	0	0	0	236	0	0	0	0	1053	0	0	0	0	0	0	1218	0	0	0	40278	51828	30781	42020	45293	43341	36074	34240	33544	44988	35360	32618	28841	25337	23249	39700	35843	31792	44959	40123	39234	21070	19291	33632
1	1.467	66.07036	11182	10727	13143	12494	11967	11558	11538	14681	13355	11325	12421	11610	12145	11413	12936	13099	13356	12674	13583	13072	11726	12716	10919	14099	25194	22346	23121	27387	23661	24007	23027	23811	18975	25300	23411	22236	22672	23319	19882	23982	26728	24801	23180	24540	23566	24954	25433	24304
2	11.95	71.01393	8917	6760	2179	3979	4278	0	2804	3175	4628	5204	3253	8217	5604	3287	5910	616	4144	4166	4639	4542	6146	4107	5678	3366	44168	33256	48151	28426	36939	31660	32890	39633	29590	36050	28109	17930	25450	21345	34183	33917	31911	36389	18316	29460	33812	26179	21691	34350
3	5.019	71.01394	3704	4042	4388	1842	3436	4492	2802	4723	5992	5093	3987	6325	6555	4486	5398	4417	5067	4910	5177	5399	2617	4574	3352	4853	43372	23906	23484	35864	24471	32476	24958	34565	34815	24291	21363	14278	22020	16909	17727	26738	26788	24994	19795	33755	30418	26401	27307	30852
4	1.516	71.01395	407145	496003	415411	414195	473376	459699	467451	422332	494833	513982	457041	452049	462633	480405	550811	398108	559890	297360	347208	392467	424622	391947	392774	406520	81067	58131	57610	44398	75812	65164	78614	71915	68857	56613	75534	66184	82224	97572	119597	76294	81068	69431	65466	52883	78115	67886	69236	76099
5	1.517	72.99322	160030	186705	164028	149317	179406	158161	172560	176752	170931	170934	159288	181000	164851	185216	184960	149738	177910	123042	138578	142624	149616	144136	159162	154947	25962	17235	21032	21519	20235	29216	19264	19866	15912	18823	21646	27967	22741	25708	43287	26157	23465	20615	22728	20164	14967	34999	24539	31524
6	1.955	73.0296	309484	222115	347100	385075	367372	295335	275027	297829	190233	150929	158097	292934	189166	268507	180591	199770	177243	376446	306497	305696	304743	270049	279876	257956	28994	28063	30991	28584	33489	34333	42683	31992	40285	40176	35084	38936	31646	28199	35190	34803	38292	43435	35237	31798	37369	36434	30526	30834
7	1.842	73.02961	186411	176326	242084	246698	219763	184807	169997	186960	191530	148645	121161	188300	176303	158750	127221	123550	130429	203887	234456	204975	190016	213177	210579	175107	61234	63554	58906	53958	59748	62634	69191	57536	59622	67017	53516	60861	51595	44941	42273	54346	65919	64745	61511	55034	69989	58968	54657	62842
8	1.741	75.00887	1110054	1174816	1032571	1114968	1260094	1131455	1377914	1095008	633200	609609	846758	883603	961127	659805	682011	1068125	404799	1244514	1237854	1061898	1056948	1130669	1350349	899249	47578	42393	60195	45727	55159	68387	67014	71392	53962	65073	76141	46289	87914	123091	102924	84471	67238	75388	47670	51071	56247	66051	68212	66042
9	1.504	75.0089	1125778	1091602	931290	1028023	1065652	1054410	1265941	880807	536173	531429	738769	805516	800397	522362	557269	943546	361974	1212030	1242021	976073	1018886	949680	1154574	836030	38351	23539	46818	33800	32171	40569	52154	44914	38582	41643	46504	41850	39615	80208	68986	43820	51489	53572	33427	35439	50232	54440	56484	60058
10	1.727	78.95914	18129	13613	30880	27823	20042	25014	31506	53716	31851	49114	18971	43008	42297	30316	20662	41907	78912	25315	29380	32479	10147	36617	18686	43557	247786	279122	539582	411806	283590	311027	245046	292378	290595	374135	299948	300097	217019	129182	176565	223952	488653	333668	276034	249251	382728	629095	294763	343864
11	1.696	78.95916	18129	13613	30880	27823	20042	25014	31506	53716	31851	49114	18971	43008	42297	30316	20662	41907	78912	25315	29380	32479	10147	36617	18686	43557	247786	279122	539582	411806	283590	311027	245046	292378	290595	374135	299948	300097	217019	129182	176565	223952	488653	333668	276034	249251	382728	684489	294440	343864
12	1.971	84.99312	40462	18864	34782	43159	36536	35580	30931	32642	14892	10896	15421	32860	16651	29967	18229	21771	14231	48482	30457	34985	39303	23474	28772	31294	0	0	0	0	0	0	0	0	0	0	0	314	0	645	0	0	0	0	0	0	0	632	0	0
13	1.504	85.02957	248488	246983	315853	208899	204369	226379	238678	212714	281523	259524	240468	299617	234212	213924	197780	277293	313625	252639	238865	251632	351588	281651	267358	289625	564718	599948	541166	575502	564791	588282	576950	547914	497599	514810	475941	589695	468199	522295	485471	579952	510073	476824	586830	541968	545202	513513	543742	518724
14	1.53	87.00883	319222	244672	350470	252195	285877	312231	350994	197362	323770	349540	296843	361084	332918	290435	206538	382059	393747	330681	282678	332428	508553	279440	409053	340349	424094	286412	308813	292177	274765	342888	364028	409737	290406	272532	282937	487660	281001	388096	383843	323877	289230	312814	346415	338957	362884	393309	428550	321395
15	1.733	87.00884	338778	275364	371895	254560	285070	332592	320827	210754	356171	340968	335896	356048	350040	343633	253957	377168	381005	334022	292415	346736	504932	282733	413158	373515	436204	301784	298090	274534	343199	355130	395469	380852	293166	314862	302091	458042	320658	420656	448012	347870	286812	323152	342646	315579	369709	336120	403250	328385
16	1.733	88.98808	56932	70681	70648	63719	65594	57047	68624	60970	45360	36580	40539	62616	51731	27282	36079	48369	38175	66791	85519	57092	58390	89695	68528	47153	323627	216380	406302	1023403	56677	95313	72086	57486	55241	108271	60385	917026	41582	89542	46488	46607	61841	144266	299000	2102680	473355	328542	1352085	159471
17	11.944	89.02438	54755	58369	45999	52218	49894	47077	54281	52022	54872	45630	55017	57465	56357	53596	50620	39398	54534	51518	45482	51998	47379	43007	46994	48404	185837	170570	228799	129159	169468	168562	151082	178418	153640	157808	156099	102704	142513	137482	162380	164519	170510	171160	105297	142184	157043	137077	106225	166123
18	1.505	89.02441	227689	254345	253341	247187	313900	283252	315860	251465	297081	293192	255600	257593	283331	286030	300826	234993	492287	190132	228756	250229	237328	226894	244769	220876	65443	45964	50032	33540	80822	77899	63955	105851	68810	73635	91511	59891	141485	125646	145476	76552	76134	64359	51029	36660	58024	62966	55930	95080
19	1.385	89.02442	106937	112483	124991	130577	213125	158545	253501	146092	184123	146451	148428	129916	175225	167644	142183	140757	415196	112148	111902	141096	135701	110500	159394	120505	128281	102247	95158	61105	160950	181666	119985	214432	196665	173727	216211	88184	324795	285303	306233	178906	186746	130283	83631	62989	109403	75039	70322	164270
20	5.001	89.02444	59115	64200	57779	55463	60048	56984	56880	58814	64078	64167	56392	69625	60300	55042	57704	66605	69851	65692	61118	59677	60200	62035	55181	62260	179913	137490	146239	184585	148525	186706	145110	188056	180711	143193	136930	87038	142581	106329	125051	148782	149373	142882	132159	170625	159627	160242	144996	158652
21	18.539	91.04028	0	0	0	0	0	386	0	0	0	0	0	634	0	0	0	0	0	0	0	0	0	0	0	0	13175	11901	9953	10686	9599	9154	10535	9121	8432	9805	6526	9411	8829	19550	11029	9584	9011	7744	12930	25522	11082	6268	8910	9628
22	1.502	93.03458	36790	26353	28888	29410	17476	24631	15494	30376	35260	31230	25289	23638	23656	16148	30557	28235	25360	29877	31025	21329	17829	49656	23055	35313	208575	200149	224549	246078	232656	211598	217145	205792	197600	211708	208564	210900	148343	159796	151997	171565	218945	236048	195511	219325	223016	220274	268179	208901
23	1.456	93.0346	36790	31635	39108	29410	17476	24631	15494	30376	35260	31230	25289	29865	23656	17515	36107	28235	25360	29877	34189	24492	21126	49656	23055	40168	208575	175787	224549	217126	232656	211598	194992	177830	172844	181317	208564	210900	148343	137181	151997	157330	180058	204374	195511	219325	223016	220274	231686	208901
24	1.688	94.99053	0	4374	5016	5406	3537	1085	4751	854	0	3188	1099	3811	7244	4176	2531	1908	0	2445	7256	1698	6039	293	5250	0	18835	20493	10603	16089	11954	18551	13434	16769	29455	16604	18614	19428	34005	28935	18505	37242	11136	19210	19417	20648	20936	19974	18080	14679
25	1.384	96.96008	218860	57753	31670	111028	75666	11965	19467	22493	5833	12656	28738	50990	43102	82295	34184	25245	5367	63687	56554	130286	89710	23011	101308	55640	1688	0	10116	14010	0	0	1134	3733	1522	9464	0	5484	0	744	2278	0	2017	2326	0	2742	4163	19306	48329	1127
26	1.766	96.96017	411734	115254	92759	328930	223937	44631	76310	85727	23958	36164	89006	116782	151899	226858	109151	87180	40873	153881	168017	336367	204713	75681	203643	128063	116635	70990	395342	356293	76838	115300	85576	220154	115583	224184	90424	191029	187591	186359	99858	96101	116218	95810	68478	99523	130573	296586	581765	140150
27	1.732	96.96961	103389	97934	191101	248342	158083	158269	207425	232255	183015	210514	115333	292026	245595	113537	105026	262530	1003754	184822	227168	173606	52837	266570	56338	179949	3815424	4573924	7963188	48239	4421100	5111450	3336126	4539422	4738356	6040682	4384667	4747622	3320611	1946099	20197	3095958	7352510	5227252	4380244	3170542	5539845	10714226	40921	23342
28	1.696	96.96962	103389	97934	191101	248342	158083	158269	207425	232255	183015	210514	115333	292026	245595	113537	105026	262530	1003754	184822	227168	173606	52837	266570	56338	179949	3815424	4573924	7961689	6136607	4421100	5111450	3336126	4539422	4738356	6040682	4384667	4747622	3320611	1946099	2758126	3095958	7352510	5227252	4382758	3406080	5539845	10714226	4526820	5133855
29	1.697	98.97379	0	0	0	0	0	0	0	940	0	0	0	0	922	0	0	784	2957	0	1096	0	618	796	0	0	19367	23860	54741	42454	25419	23897	15611	19015	20366	30650	24871	23595	16394	12341	14456	16649	47341	23874	16497	18687	36609	63676	25702	33547
30	1.808	99.00874	32346	47003	60953	49147	48126	41029	43026	60863	74708	70481	50727	57808	51497	67504	51783	40181	74419	41856	59492	42196	39075	54000	45064	54103	50348	37240	31942	38872	36946	37188	37501	31843	32684	36834	36973	38623	31688	36641	31755	42358	42796	41880	36451	32559	35621	37002	34668	42498
31	1.572	99.00875	32092	43813	48358	36049	38097	39424	41289	60682	69576	73473	43897	55167	42053	60461	40905	44426	89543	35649	53011	36683	33197	46144	34409	46369	42279	34421	45790	42394	33543	44677	43296	35972	33400	42699	43391	40141	38427	41248	46359	40152	45038	44347	41340	42771	37436	43020	46725	44929
32	11.567	99.04509	25344	17210	6557	23676	4458	4861	7999	23943	32631	28477	13456	21190	17556	19943	19980	13817	34962	31281	26792	29942	16573	25766	24658	36840	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794	787	0
33	1.493	99.04514	7971	9789	5857	8851	2366	4768	1530	8692	5167	6405	5782	4828	4933	1135	5329	7388	1090	5888	6541	6779	5863	10301	5593	3417	35651	31000	33391	35553	26941	25792	28077	35542	30260	28559	25945	20767	18213	22841	21251	27848	30293	31108	30365	25786	22176	21732	34960	26165
34	14.357	100.64809	6746	6548	5959	6844	5669	6576	5141	7111	5738	6387	6766	6445	5962	7081	6862	5632	5177	6166	6222	6183	6041	6260	5978	5685	0	0	0	358	0	0	0	0	0	0	0	0	0	0	0	375	0	0	174	0	0	0	0	0
35	11.943	101.02435	52541	51052	57906	36811	40586	31281	38149	33586	42218	37706	32942	43764	38387	41774	34773	31371	52886	35712	42232	36853	44128	28838	31448	40104	142290	109310	158536	96372	114274	116640	104899	133636	119698	110277	125374	80482	101010	100251	121511	117525	115652	128242	80747	109186	111643	97773	78089	111721
36	1.847	101.02435	46669	48176	52698	54803	62068	50998	46861	56476	57576	55516	57157	60724	53622	55986	52835	54310	78323	55025	51923	57009	54267	53257	50951	51841	90846	74935	66284	60134	79439	87062	78663	88653	87866	86455	93523	61718	97643	96290	102446	87878	82959	76121	65798	55801	68600	60612	67015	91076
37	1.399	101.02436	81130	75173	84889	111952	144174	130366	175404	102087	115815	124365	105648	100495	133807	137238	107046	119298	277151	102301	102928	113523	99969	86858	116198	104668	109644	85517	85661	56224	112647	127581	98902	142765	145302	133922	142861	75207	209304	183319	195539	125100	134693	100076	65675	59594	94100	65135	62839	109289
38	4.992	101.02438	45335	44353	42663	36294	41782	40370	38811	43442	41203	43775	37684	49730	38955	38491	43052	43931	50135	41312	43400	45106	40115	41366	40234	44180	164638	95269	112889	137148	117193	138382	115232	142403	137920	119692	108918	74316	115442	92599	97344	114585	116112	114070	105699	134142	121497	119680	108861	138875
39	4.226	101.06074	598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	691	22804	14021	14874	15139	11794	11588	17455	20884	12676	18018	13753	21450	15283	20010	11439	14730	14957	18013	19872	12358	24184	23841	9284	17990
40	1.742	103.00367	2542566	2746689	2349618	2649158	3080578	2603769	3245206	2523228	1539018	1425092	1977008	2051130	2258410	1468720	1565380	2440954	928522	2977062	2879634	2419636	2455556	2664290	3151684	1982130	90048	87749	121462	86259	106216	135252	142157	154040	128928	154896	173498	80240	185280	265809	208322	185533	141181	158011	78480	89723	116804	137115	138631	138508
41	1.536	103.00368	2528256	2496484	2172534	52018	2637955	2535595	60611	2132860	1285324	1142802	1739432	1848409	1891826	1138657	1289330	2200463	832446	2939734	2817754	2237266	2341432	2065958	2609438	1873492	74303	59573	82382	61093	57415	84306	121878	95514	92137	71918	102921	70104	102472	140705	120591	109365	86776	108336	73348	91295	91632	128635	120514	108553
42	1.509	103.00369	2528256	2496484	2172534	2406898	2637955	2537469	3119884	2131364	1285324	1142802	1739432	1848409	1891826	1138657	1289330	2200463	832446	2939734	2817754	2237266	2341432	2065958	2609438	1873492	74303	59573	82382	56404	57415	84306	121878	95514	92137	71918	102921	70104	102472	140705	120591	109365	86776	108336	73348	91295	91632	128635	120514	108553
43	1.845	103.03999	7576	8100	10084	10636	8679	10277	6053	7737	11232	8943	8159	7689	12141	11300	8585	8701	10666	7040	7786	10257	11575	9745	10210	7299	8297	8700	9436	5399	7260	9150	7012	10212	7273	8375	7726	10152	7614	9028	7449	8193	6731	7818	8300	6189	7887	6665	12159	8824
44	1.481	105.0193	177009	190201	158641	176444	168410	159706	191728	112013	54677	46898	93798	201772	114533	81824	89673	138105	51266	250470	247297	235535	162274	173930	222706	199984	16407	15322	15202	24774	19023	15051	31445	31236	18785	19454	21571	23945	9774	24027	25171	28272	15597	30391	15705	20403	21818	40195	27442	31307
45	1.979	108.0216	10276	10349	6934	10111	30650	5029	9942	7213	3493	8286	8919	12267	11664	7023	9845	7976	6378	6025	10618	14594	8356	5479	8022	14792	20518	26542	17638	22844	11903	11935	12414	12562	10983	11570	8606	16566	10731	9749	17659	12711	17626	7062	27080	31643	22730	17593	14700	11261
46	2.005	109.02944	28434	25017	19728	20206	30125	21058	20133	21774	18591	22093	27049	28589	22247	22000	21380	18296	20268	20035	19559	26426	24215	17928	19033	24361	149657	121911	68435	129426	43953	35898	49183	66015	44819	40468	28748	75992	51714	51465	74424	51474	78379	28415	115486	206453	100761	105971	110787	54049
47	1.488	109.02957	13067	15069	13039	11649	13799	15166	11792	17579	2588	7643	9753	11300	12579	7240	12842	13789	8809	18415	15588	15764	9488	7275	14354	16039	44320	70305	43714	45783	50275	44769	50754	36965	44734	48580	50520	54117	44914	40758	34784	42115	54657	49203	42922	60369	54821	42030	56417	44172
48	1.71	110.98528	172244	183588	337440	253776	200673	268015	287473	503514	365633	493663	211877	367507	374330	309284	202180	347000	374184	215540	218144	304792	133305	315762	188794	426375	59209	104734	65792	51341	66741	85960	121252	199937	61090	61092	76533	52186	137487	113062	155603	173833	80924	80103	71276	35231	59917	99651	83462	66100
49	1.745	111.00878	447207	358402	510898	333229	394247	450662	450925	270535	492945	451332	430088	494047	501602	445712	310652	538188	515615	417541	351707	432662	699000	362544	575444	499226	481657	292504	321702	285575	314983	359922	436295	437708	271878	266136	265931	493325	290987	498262	522563	365027	293672	290833	370757	334710	424279	386188	479586	332935
50	1.537	111.00878	420238	320548	465649	312640	364469	399878	500282	238044	449542	433009	371063	466384	446892	374236	262239	500357	521263	408917	322650	395183	688436	322827	530170	452352	364284	246584	291812	251436	240637	305296	347439	413973	252556	185136	198059	484523	214830	429629	441948	298937	248166	257874	295070	290615	358204	393636	498315	312815
51	1.462	111.04511	21325	25506	32080	16242	12678	14459	11205	22920	21620	19944	18679	21464	13288	11353	22247	20973	20220	21192	24697	19304	11912	33457	16892	23656	131683	147881	139988	167752	157459	183160	123360	143117	155544	104683	115908	138487	101559	114113	106011	125513	155969	123465	145139	166892	162532	130626	197168	130570
52	1.497	111.04516	21325	23211	32080	16242	12678	14459	11205	22920	21620	19944	18679	17652	13288	11353	18720	20973	20220	21192	24697	19304	11912	33457	16892	23656	131683	147881	160678	167752	157459	183160	137869	143117	155544	116939	128848	149045	101559	114113	106011	125513	155969	140955	145139	166892	162532	149368	197168	150443
53	1.593	112.98797	22664	32117	38785	24402	25904	28713	30876	48947	55529	62949	34379	46932	31313	55362	36697	36463	87445	26621	43349	26320	23067	40053	24235	34332	14634	22052	22061	17363	23055	23512	26730	23115	19318	19561	27946	26035	26279	36332	27557	35015	35685	35351	17464	21174	22335	20784	22231	24041
54	1.783	112.98801	20550	21872	37290	20208	22805	18124	21765	39845	47110	47372	27515	35693	24665	45667	32327	24123	62068	22040	32209	22321	17014	46970	19541	27375	29476	23606	22970	31047	22404	24253	29481	26288	24141	27569	27125	25372	24269	27740	27702	34781	33330	33874	25681	25007	25948	17611	20973	35238
55	1.4	113.02432	42988	46993	47402	53412	89535	73512	108678	60600	65954	67022	52252	54008	71044	69764	68112	69964	188909	47651	41756	58664	53131	45243	65903	53411	58603	50008	47893	32209	74886	74869	56286	85492	93314	85276	96459	45603	138612	114606	130462	84514	82683	55541	35570	26854	54294	34076	32464	75339
56	11.955	113.02432	25851	24825	26549	16510	19358	21982	18108	26221	24339	31651	17474	29615	22518	26409	20908	17841	21978	15714	26080	24203	24423	25196	47512	13154	120635	89772	145907	70132	106342	90556	82295	106958	92456	91864	92246	58896	70373	68237	98369	95525	96182	102329	59463	83206	93582	67704	55753	94665
57	5.025	113.02435	12559	13869	11273	10079	13529	10891	12802	10772	14530	14911	8462	15689	10213	11489	12935	14271	13898	12863	12657	11826	11392	9845	9943	11882	91637	50982	55995	69171	57288	69070	58671	78062	72475	55094	51185	34296	55258	36725	46426	57223	55662	55943	56332	71990	64876	62944	58472	68210
58	3.37	113.06073	0	1241	1788	1334	983	0	0	0	804	480	0	0	838	0	1080	333	0	222	0	432	276	1247	0	0	8126	6988	8725	15072	5506	5013	14783	3597	4426	0	5141	11970	2927	8428	2642	3583	5181	5947	13364	8601	6057	38218	16993	14728
59	13.267	114.73802	8518	9351	9130	9015	7530	8239	8896	10582	6997	8407	9433	9160	7746	9515	8199	7303	8429	9513	9012	9164	8480	8574	9073	7535	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	195	0
60	10.649	114.92908	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6151	7692	7424	6882	5910	6366	7176	6501	6196	6461	5309	6155	5680	4569	5169	6035	6059	2904	6479	7535	6420	6915	6781	7245
61	1.527	115.00365	1361352	1591832	1406528	1440062	1596740	1590734	1482614	1458022	1653451	1686119	1547005	1496111	1539506	1626573	1877813	1281945	1648634	997101	1175108	1282523	1379574	1268766	1350965	1343284	152649	76636	87952	76516	137831	101246	182127	116304	93708	82326	118953	216889	91209	149779	258095	134176	86105	111230	145224	146788	170043	196616	105692	131574
62	3.357	115.04002	20497	18527	14673	16249	15088	12973	11445	17684	14365	11968	12231	16699	14297	16857	15623	18464	17324	17048	14352	13053	17686	19472	16193	16096	31638	35879	38650	55186	33927	30481	45202	25867	29328	22428	25980	45485	19611	34143	22483	26945	23754	36746	55898	36373	35378	106973	66185	46659
63	13.777	116.9109	5021	7431	8702	7926	7736	8037	7651	7975	7766	8375	7963	7129	8042	8470	7296	7191	6534	7016	7120	6408	7602	7050	6998	7772	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	1.869	117.01933	1321488	1842570	2716602	2292069	2265466	1790530	1739323	1714471	2220883	1699299	1248872	1637722	2015729	1437051	1330451	1244941	1541245	1780556	2321012	1753193	1659582	2017633	2020800	1704070	822311	723036	848568	606405	718077	681268	895227	645536	767434	1008756	772379	837876	584298	578139	580420	726878	812612	784371	747798	667096	892134	754983	572883	741060
65	1.954	117.05569	2951	3042	1448	1811	796	1516	2375	2324	2356	855	275	2856	3460	2759	1704	1522	2173	2101	3595	2998	4148	3841	2631	3591	9559	10774	12924	10259	12788	13426	13246	12340	14018	12570	10724	10999	10324	14067	13703	15278	11348	11898	12490	8430	8808	9445	6893	14664
66	11.756	119.2935	7696	6084	9205	7935	6773	9537	6371	8870	8488	7944	6172	5677	7812	8511	7563	7910	7354	7168	4859	7927	7830	6559	5622	8143	0	0	621	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1118	0	0	0
67	12.332	120.99633	374916	493612	510427	177915	260620	131887	429620	285614	217050	193911	158143	269034	222432	244838	278741	193740	140770	226182	230466	313109	308332	266409	203079	355489	1471	468	235	276	594	0	0	0	0	1044	0	1054	873	0	513	0	0	144	0	0	1164	883	488	595
68	2.065	120.99637	70527	85112	57545	63083	52384	60504	72211	63324	65927	57695	64207	88106	61262	68942	53745	80357	69836	87466	79317	87885	94298	75290	62527	66539	7437	5338	10039	6839	6788	6109	5084	5947	5352	8082	4948	7996	6536	8517	3637	4293	6737	6070	6094	3320	4970	6300	4296	7487
69	3.836	120.9964	35494	48279	38384	23642	27096	19463	37463	29643	23314	31219	25772	36368	25556	30943	35127	15540	25916	27251	23417	31657	41351	27664	22306	39111	9061	3014	9026	5996	5889	3786	5532	4705	2447	3259	2827	4152	2447	3855	1062	2776	3552	4743	4875	5308	6222	2552	2135	7158
70	5.993	121.02937	47051	50573	63124	48584	56657	55941	50214	51210	58165	51423	49320	69933	48160	46756	58186	58157	64247	48648	59248	50219	48120	59936	48927	45337	117536	104850	72298	69785	108610	109200	106998	101688	125068	162122	126919	108851	95334	84143	162877	93547	100007	123302	97745	61523	113757	104932	62819	81720
71	2.163	121.02937	54952	47888	41828	46797	52876	54717	51831	56956	70695	42716	38620	79776	56820	58962	38442	76938	42730	97457	70844	66310	50858	56478	50840	60640	28088	38517	35160	32535	32488	36049	30605	32287	37887	30356	32494	28758	35295	30132	33224	34123	32177	31551	30743	29162	32554	31917	35228	34804
72	5.265	121.0294	36574	35958	33257	34143	34143	31310	34661	39997	31408	33282	33447	36218	33361	37581	37712	37126	34454	33787	35734	36442	34979	36270	36167	31169	312882	436863	177900	291757	335119	176674	146239	276806	223348	277377	189816	248420	344878	296237	414408	144226	160901	200886	308225	171572	294192	277327	230705	149317
73	12.326	122.99207	12348	16159	18265	5225	7638	4177	11898	6965	8823	6116	2347	9448	5741	9717	6839	6305	1931	5857	7446	9006	7495	5058	5219	11576	0	0	0	0	0	0	0	0	0	0	586	558	0	0	0	0	0	0	0	0	0	0	0	0
74	2.007	123.045	10547	9670	11062	9842	11647	11584	8254	11495	10155	8056	8869	10753	9599	11393	13913	9378	12228	10367	9978	11023	10336	6807	8093	7544	9087	8310	10049	7282	8455	9800	7069	8497	9046	6728	7669	7948	5594	6333	7886	8861	7905	7148	6019	7288	6387	9834	9594	7625
75	3.615	123.04501	13091	19538	13585	19093	14222	16914	24370	14855	9399	11394	9576	15550	13509	24474	12495	21014	12114	12869	14609	12692	6760	19421	21897	8388	11645	18680	17510	14335	23317	21766	23509	23075	15171	13997	15394	13068	27662	26809	18451	18482	15168	12225	14914	14162	14143	16862	18062	17147
76	18.719	123.04517	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	17106	11640	15154	10620	17106	9730	8497	8576	14434	10789	11245	7980	14884	7762	9359	13258	11622	11894	6959	7417	18856	8926	4288	6870
77	3.641	125.02427	33044	40466	34955	37974	34990	38652	55252	27440	27528	31870	34091	33847	38505	54004	37186	46666	32213	27613	32739	29604	24706	42576	44824	29548	25641	33492	33196	35222	49154	41074	40789	43624	36027	32573	32725	31619	51631	55798	45077	43249	33218	27376	34547	30749	31852	28789	36204	39479
78	2.048	125.0243	23199	25901	17781	22356	29784	18065	37421	20435	19877	35139	28145	25078	32513	21243	17638	21108	23804	23230	21608	24141	23036	18234	27669	28245	96631	70742	51302	123902	59744	64945	90154	112732	64728	57895	51158	93361	62503	60801	75967	113482	86316	61609	112477	137318	102359	97435	121072	126504
79	1.548	125.02434	11843	15674	17499	14771	14382	12525	14308	15078	15470	15764	14233	12252	15328	11998	14042	13869	24591	14434	13392	16539	12903	14957	12183	14815	35158	43784	29073	53259	39298	42207	43503	52881	35210	44220	30528	38193	27773	35405	36711	57984	40437	29075	50114	54058	27442	43089	31775	54649
80	12.968	126.84573	7607	6255	4993	5783	5071	7674	6504	9262	8445	7426	10326	8183	6825	4930	6482	5320	5737	7319	7454	3893	7277	5302	0	4353	0	0	0	0	101	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
