Alignment ID	RT	m.z	2022_12_30_neg_BK_Sfery_23_08_22_B_1_230106030156	2022_12_30_neg_BK_Sfery_23_08_22_B_10_230106082540	2022_12_30_neg_BK_Sfery_23_08_22_B_11_230106090129	2022_12_30_neg_BK_Sfery_23_08_22_B_12_230106093733	2022_12_30_neg_BK_Sfery_23_08_22_B_13_230106101334	2022_12_30_neg_BK_Sfery_23_08_22_B_14_230106104923	2022_12_30_neg_BK_Sfery_23_08_22_B_15_230106112527	2022_12_30_neg_BK_Sfery_23_08_22_B_16_230106120127	2022_12_30_neg_BK_Sfery_23_08_22_B_17_230106123717	2022_12_30_neg_BK_Sfery_23_08_22_B_18_230106131319	2022_12_30_neg_BK_Sfery_23_08_22_B_19_230106134912	2022_12_30_neg_BK_Sfery_23_08_22_B_2_230106033758	2022_12_30_neg_BK_Sfery_23_08_22_B_20_230106142513	2022_12_30_neg_BK_Sfery_23_08_22_B_21_230106150117	2022_12_30_neg_BK_Sfery_23_08_22_B_22_230106153722	2022_12_30_neg_BK_Sfery_23_08_22_B_23_230106161325	2022_12_30_neg_BK_Sfery_23_08_22_B_24_230106164931	2022_12_30_neg_BK_Sfery_23_08_22_B_3_230106041349	2022_12_30_neg_BK_Sfery_23_08_22_B_4_230106044950	2022_12_30_neg_BK_Sfery_23_08_22_B_5_230106052539	2022_12_30_neg_BK_Sfery_23_08_22_B_6_230106060143	2022_12_30_neg_BK_Sfery_23_08_22_B_7_230106063744	2022_12_30_neg_BK_Sfery_23_08_22_B_8_230106071333	2022_12_30_neg_BK_Sfery_23_08_22_B_9_230106074937	2022_12_30_neg_BK_Sfery_23_08_22_S_1_230105123700	2022_12_30_neg_BK_Sfery_23_08_22_S_10_230105180128	2022_12_30_neg_BK_Sfery_23_08_22_S_11_230105183731	2022_12_30_neg_BK_Sfery_23_08_22_S_12_230105191335	2022_12_30_neg_BK_Sfery_23_08_22_S_13_230105194938	2022_12_30_neg_BK_Sfery_23_08_22_S_14_230105202542	2022_12_30_neg_BK_Sfery_23_08_22_S_15_230105210147	2022_12_30_neg_BK_Sfery_23_08_22_S_16_230105213750	2022_12_30_neg_BK_Sfery_23_08_22_S_17_230105221352	2022_12_30_neg_BK_Sfery_23_08_22_S_18_230105224951	2022_12_30_neg_BK_Sfery_23_08_22_S_19_230105232554	2022_12_30_neg_BK_Sfery_23_08_22_S_2_230105131319	2022_12_30_neg_BK_Sfery_23_08_22_S_20_230106000158	2022_12_30_neg_BK_Sfery_23_08_22_S_21_230106003759	2022_12_30_neg_BK_Sfery_23_08_22_S_22_230106011404	2022_12_30_neg_BK_Sfery_23_08_22_S_23_230106015006	2022_12_30_neg_BK_Sfery_23_08_22_S_24_230106022607	2022_12_30_neg_BK_Sfery_23_08_22_S_3_230105134921	2022_12_30_neg_BK_Sfery_23_08_22_S_4_230105142510	2022_12_30_neg_BK_Sfery_23_08_22_S_5_230105150113	2022_12_30_neg_BK_Sfery_23_08_22_S_6_230105153717	2022_12_30_neg_BK_Sfery_23_08_22_S_7_230105161318	2022_12_30_neg_BK_Sfery_23_08_22_S_8_230105164921	2022_12_30_neg_BK_Sfery_23_08_22_S_9_230105172525
3553	11.112	560.13123	71379	39802	56651	49017	88701	117200	42494	18896	68004	40097	28510	33766	43180	60103	80709	79918	51627	23193	54819	48089	53441	38558	48524	37718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3554	11.639	560.13147	60996	36753	54598	41196	60955	93994	38323	14592	53234	31098	28624	31197	32960	45763	69782	76749	44476	21714	50373	31529	50189	44741	40011	29688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3555	3.161	560.17603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143048	102797	4034	26157	0	92567	200232	65217	86421	193255	57746	148012	3623	0	86024	86603	74289	92195	236443	117823	184392	126080	0	102380
3556	11.104	561.13806	455796	393899	483627	527896	637254	574140	719766	239696	281556	332650	321694	438431	259538	736090	479657	892056	216099	349740	539945	341727	217727	431462	670681	293229	13191	5002	7280	6389	7218	9223	10278	5026	6911	6845	3342	7942	3909	5269	6696	2953	8387	5933	9564	7065	7859	8424	7734	6175
3557	4.647	561.13855	685228	756744	996249	1129810	1453773	1298809	1532099	490494	712632	697846	571008	1014590	504088	1309178	943519	2107334	457827	826569	1246548	806135	611054	1079797	1298466	585120	9816	7840	8275	6150	6144	8578	7108	5358	7514	5820	6380	9720	4025	6280	6861	7067	9251	8005	11347	6868	7624	8553	3714	6197
3558	6.112	561.13861	1400355	986924	1295849	1183652	1752422	2240470	1117278	677959	1894780	960218	949960	792753	1137664	942839	1580756	1657578	1334478	706571	1360012	1153737	1413181	1209787	724667	1000950	137	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0
3559	3.9	561.13867	782362	534381	976339	871784	765915	877497	826159	360100	350592	600599	568242	574540	383622	916224	795269	606444	516801	235964	534216	534696	455112	669130	928660	453663	20411	12394	15128	13650	16624	13524	18354	8605	16264	13614	8469	12186	6522	11311	9025	10052	17186	10975	16143	14012	13276	12961	9738	16157
3560	2.204	561.14423	20530	14402	12887	6161	4682	14831	16227	10505	9977	10402	7773	14517	27993	13551	13061	5899	14850	3098	5870	16123	15714	5711	15340	8898	0	0	0	0	0	0	0	0	0	690	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3561	11.781	561.19135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1022	0	378	0	0	0	0	0	0	21229	13372	24782	18263	12443	21193	14333	12550	22381	11584	11200	19432	10662	9353	8208	6448	24192	20856	22888	15491	12658	29543	10974	21427
3562	13.678	561.19641	27099	21033	11441	19648	28078	13485	13647	7738	5745	18308	13675	22510	26947	21106	17619	6514	8363	11441	14358	37437	19688	8507	20789	28459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3563	13.338	561.19702	7989	11342	8844	9502	6266	8403	4866	9450	6948	9113	7503	13419	9580	5209	13763	5573	7677	5846	6415	14438	8883	3728	14162	12727	0	0	0	0	0	0	0	0	0	0	0	0	121	556	1323	0	0	0	0	0	0	0	0	0
