Alignment ID	RT	m.z	2022_12_30_pos_BK_Sfery_23_08_22_B_1_230102194605	2022_12_30_pos_BK_Sfery_23_08_22_B_10_230103011005	2022_12_30_pos_BK_Sfery_23_08_22_B_11_230103014609	2022_12_30_pos_BK_Sfery_23_08_22_B_12_230103022200	2022_12_30_pos_BK_Sfery_23_08_22_B_13_230103025801	2022_12_30_pos_BK_Sfery_23_08_22_B_14_230103033403	2022_12_30_pos_BK_Sfery_23_08_22_B_15_230103040949	2022_12_30_pos_BK_Sfery_23_08_22_B_16_230103044539	2022_12_30_pos_BK_Sfery_23_08_22_B_17_230103104719	2022_12_30_pos_BK_Sfery_23_08_22_B_18_230103112325	2022_12_30_pos_BK_Sfery_23_08_22_B_19_230103115923	2022_12_30_pos_BK_Sfery_23_08_22_B_2_230102202209	2022_12_30_pos_BK_Sfery_23_08_22_B_20_230103123513	2022_12_30_pos_BK_Sfery_23_08_22_B_21_230103131115	2022_12_30_pos_BK_Sfery_23_08_22_B_22_230103134708	2022_12_30_pos_BK_Sfery_23_08_22_B_23_230103142309	2022_12_30_pos_BK_Sfery_23_08_22_B_24_230103145912	2022_12_30_pos_BK_Sfery_23_08_22_B_3_230102205812	2022_12_30_pos_BK_Sfery_23_08_22_B_4_230102213401	2022_12_30_pos_BK_Sfery_23_08_22_B_5_230102221005	2022_12_30_pos_BK_Sfery_23_08_22_B_6_230102224606	2022_12_30_pos_BK_Sfery_23_08_22_B_7_230102232155	2022_12_30_pos_BK_Sfery_23_08_22_B_8_230102235759	2022_12_30_pos_BK_Sfery_23_08_22_B_9_230103003402	2022_12_30_pos_BK_Sfery_23_08_22_S_1_230102052256	2022_12_30_pos_BK_Sfery_23_08_22_S_10_230102104704	2022_12_30_pos_BK_Sfery_23_08_22_S_11_230102112253	2022_12_30_pos_BK_Sfery_23_08_22_S_12_230102115852	2022_12_30_pos_BK_Sfery_23_08_22_S_13_230102123442	2022_12_30_pos_BK_Sfery_23_08_22_S_14_230102131027	2022_12_30_pos_BK_Sfery_23_08_22_S_15_230102134615	2022_12_30_pos_BK_Sfery_23_08_22_S_16_230102142204	2022_12_30_pos_BK_Sfery_23_08_22_S_17_230102145755	2022_12_30_pos_BK_Sfery_23_08_22_S_18_230102153356	2022_12_30_pos_BK_Sfery_23_08_22_S_19_230102160945	2022_12_30_pos_BK_Sfery_23_08_22_S_2_230102055859	2022_12_30_pos_BK_Sfery_23_08_22_S_20_230102164549	2022_12_30_pos_BK_Sfery_23_08_22_S_21_230102172152	2022_12_30_pos_BK_Sfery_23_08_22_S_22_230102175755	2022_12_30_pos_BK_Sfery_23_08_22_S_23_230102183359	2022_12_30_pos_BK_Sfery_23_08_22_S_24_230102191002	2022_12_30_pos_BK_Sfery_23_08_22_S_3_230102063503	2022_12_30_pos_BK_Sfery_23_08_22_S_4_230102071102	2022_12_30_pos_BK_Sfery_23_08_22_S_5_230102074705	2022_12_30_pos_BK_Sfery_23_08_22_S_6_230102082309	2022_12_30_pos_BK_Sfery_23_08_22_S_7_230102085912	2022_12_30_pos_BK_Sfery_23_08_22_S_8_230102093513	2022_12_30_pos_BK_Sfery_23_08_22_S_9_230102101113
0	1.34	61.00679	3944748	5449958	5352259	4239412	4305786	6574112	6050123	6785958	6496374	6174945	6192820	3252884	4345157	4653607	6178872	5793236	4637190	4175491	5320468	3742155	4076848	6090705	3503966	3978956	508126	598709	416657	53835	4677204	2797557	2643715	3292757	4548661	3754223	5212836	56448	4485436	3525747	4672520	4804631	2724814	2405495	723512	16042	408327	581615	18698	1965452
1	1.296	62.01859	899532	1061170	1045766	932941	1088376	152300	881459	897200	561821	994431	911093	1093664	983343	928687	1013998	1016950	866870	934137	966502	905027	1082605	843001	983129	1016594	457107	619737	769413	515644	570269	605776	769624	708952	628846	681297	564323	694828	506624	583672	427998	501228	584991	641384	734044	745752	720066	329373	661564	810164
2	1.264	62.0232	893688	935234	1038397	930327	1081204	986699	863818	903835	560369	881332	912232	1096086	981572	906561	1000081	1012537	854482	913072	963145	898695	1085180	745138	999554	545396	457107	616267	774094	641692	572676	602589	780804	711449	624117	679462	569236	685041	508439	331991	438553	501228	577627	644612	743134	749146	730241	784588	656572	103574
3	1.368	65.00886	144881	192305	173537	168982	126539	152247	141854	147025	175111	170560	144358	185563	146997	191215	186091	127863	146939	151217	155140	126541	196013	167113	179555	175377	96110	66420	79750	75412	69522	65031	82360	80654	74106	58328	63080	109053	50674	74613	37164	52449	49763	85464	69017	96553	107163	92628	65585	95316
4	1.316	65.00901	114959	178162	160688	168982	140562	136942	141854	147025	163357	170560	139480	150443	161930	191215	186091	121912	151755	143733	152557	142747	164304	129366	168067	171399	96110	66770	89145	75412	69909	73644	85882	80654	91126	58328	64255	109464	57889	74613	44331	56454	51137	93384	70982	99341	119484	107460	91259	95316
5	1.309	70.01199	392333	461550	524897	315058	378682	632481	611006	834454	576172	662060	737196	288857	354956	601581	667662	595624	438738	394553	493384	385725	364093	606941	244654	325754	23549	53565	31614	8427	775800	305232	305207	369304	670701	407822	703328	18473	858736	457638	695762	771500	411670	260702	50710	0	24328	40870	0	245103
6	1.422	72.08014	4567	18123	4747	6115	12118	18842	91203	13907	10034	296436	47056	18000	87488	45908	19731	6637	6417	5051	2191	9277	201777	2615	12257	8502	140220	165363	91461	67286	203524	373199	213214	1049958	211527	374667	388811	54812	970810	1673712	1720005	1004846	183059	222512	229672	46006	86212	130799	38618	116379
7	1.336	73.02306	213036	235500	212321	244303	293955	223428	216887	228707	255917	271682	237085	267675	252695	209230	272610	184601	206159	192793	243518	178049	202755	213281	200520	249288	130780	96670	112470	95799	76366	114219	148033	125869	151571	125106	96353	149687	103487	120693	61599	85709	124320	105423	133064	129964	110763	127478	170069	192983
8	1.292	73.02624	207644	242090	241429	244303	288769	231077	216887	228707	255917	291231	237085	267675	223932	209230	312280	184601	213562	241825	283991	142118	252767	213281	203134	243372	148177	126133	141013	107084	98467	126677	137735	161255	158305	127290	117487	150464	122151	124644	73146	100880	126306	139778	141802	152431	132019	127478	132874	192983
9	1.273	73.45954	100439	124340	135519	131664	130348	119361	125812	129925	127285	132869	132049	179665	125309	146339	136008	144835	111150	106443	166138	111264	153112	125644	119513	137254	96479	92228	79037	73332	58000	90603	65370	118535	74147	52116	83944	108391	65561	59471	60221	42089	78243	106382	71860	123255	72932	106844	107357	100872
10	1.284	73.46745	115658	171219	207538	176029	141817	159907	160036	140800	147620	138261	154362	192432	158825	191712	166823	160292	154014	160291	194741	150803	194844	128530	161522	153213	94671	98774	145710	89613	77949	96794	117521	83949	74662	88905	101252	90006	83571	87738	55035	44830	84036	125121	84285	128077	123130	114389	113679	122800
11	1.282	73.48044	130484	214670	259786	198953	146185	204767	193006	174588	179880	183645	187251	190097	185204	169550	148425	175551	162150	144908	154192	138613	182723	181450	177414	279725	124163	131508	121206	99322	107892	76593	142384	123198	112326	148228	94654	151854	66215	90681	66598	84629	83222	127299	119385	132668	130390	128452	135979	158269
12	1.268	73.49193	205191	316210	251969	219828	298310	215314	264848	252273	249543	282940	265378	280772	334585	293488	243370	238738	214039	240477	298516	229163	315711	223875	301035	341439	215819	144404	157222	134312	143025	155708	172151	197277	120873	186066	152478	267279	127476	133828	96767	110004	163376	151088	178968	150134	164566	177863	161095	196943
13	1.275	73.50445	316077	375400	583944	313109	532866	373667	258086	395271	423413	586371	353896	313232	342671	473797	487848	369822	313354	445028	452452	352782	527053	430009	395056	481249	334893	368112	288771	281835	225437	222438	334774	221199	276466	288445	254345	293842	232432	158811	147213	198199	234933	246742	206348	349482	254190	414314	349568	350140
14	1.293	73.51302	773156	815214	751577	498604	886952	876534	750514	793256	873681	726369	841126	905458	809658	680744	852529	787452	698970	703027	659591	853538	922264	786773	840439	918030	585075	534146	518113	520067	478708	561898	534294	690087	591994	482787	432358	655576	434577	327069	315453	447434	490804	587052	672464	624223	589323	655394	588574	611734
15	1.262	73.51302	773156	789159	915011	814695	886952	768258	750514	793256	873681	992847	841126	905458	942992	888876	852529	882102	809455	759917	854408	853538	922264	786773	840439	918030	585075	534146	523533	457477	385742	498413	552321	690087	406154	482787	509498	655576	470111	410429	335514	334607	508087	587052	651501	579479	593560	655394	594363	607636
16	1.928	73.53124	2479986	2936361	2639295	2755048	2503231	2162293	1866682	2003404	2854812	2795733	2897950	2948316	3017650	3039852	2973992	2754740	2213416	2155483	2568949	2716812	2551359	2528146	3113266	2813226	339187	126485	355059	209815	147191	186818	204073	245952	278165	149890	270178	409394	243140	262786	167568	158463	208548	358439	233113	443262	277746	376658	594066	280031
17	1.285	73.53131	102994360	116262464	118962552	111892104	112203816	110345320	106715528	106844952	118026512	119411632	115566152	113930008	120944880	114148408	121729720	109131656	102030152	104157624	108474928	109223840	116502528	109746184	113650704	115353712	81565000	68779568	76090608	66320828	64035424	70191408	78183248	80707096	73798456	71992576	67440056	82703112	56798052	59798724	47140564	55860140	63703416	74769200	80879704	79449880	79349776	86329776	76005768	82788216
18	1.296	73.5428	831223	1241321	1050766	1127174	1138448	900020	1186012	1586306	1060148	1630573	881551	1007895	1601968	1709062	1679176	1167664	697563	1442193	1493615	883807	1605858	1347605	1564591	1623833	1177174	901939	1031305	779415	889463	929638	1076409	1137683	1005456	977520	877888	678981	765060	676608	643083	793198	875187	1005623	1059232	1073422	1159002	1116834	1140273	1166608
19	1.261	73.54958	803368	951525	1026783	946686	970504	900020	845879	825642	930267	1007895	869246	1007895	1025671	931358	956988	951239	846690	827619	885276	883807	933474	898432	843458	969955	591361	550199	551809	586327	451290	573330	619776	719617	623255	540109	486820	685192	462203	583341	382977	452397	519298	606412	729484	661200	642052	699762	631161	646022
20	1.276	73.56782	335479	450224	460824	344589	459113	495766	408436	361877	394113	474002	476911	430224	516179	457370	440586	397126	338828	452439	469004	407326	497137	420645	486085	461928	338020	229109	285033	265720	226355	196427	273171	306491	255315	297243	267109	370544	227036	193092	153148	175745	262220	319038	237503	273710	367117	294932	224578	258319
21	1.287	73.57498	331195	411001	403904	305588	367130	347220	337705	326991	362790	423344	354135	365452	399787	426286	317790	314074	312964	351675	331185	345919	358424	304243	302959	375339	251256	213049	248074	221861	229423	207351	228989	264785	241888	243673	204447	271917	154484	190066	118631	170329	220933	252869	229279	235021	261695	244140	238560	303212
22	1.28	73.58783	306729	347201	367292	371212	341762	344949	334311	308249	337902	358681	281998	306794	333492	336512	342863	312068	289846	311921	293274	321710	326205	288541	333149	338388	235534	169181	225350	189024	164191	211240	235069	225771	190983	224523	197887	261694	157733	174606	98023	137061	202680	249976	234686	229339	218515	235739	235155	265262
23	1.292	73.59536	250803	318062	343138	343610	331152	350757	313778	332614	370892	373533	334767	364834	369550	345615	357172	359431	316888	325942	335702	323326	378780	277852	331402	290461	251849	195575	271814	189699	197124	212724	255299	223881	186268	192465	215799	273512	169768	180516	117703	150481	194834	216677	244744	283546	249998	240376	217509	244887
24	1.274	73.61372	205429	231015	197614	249715	207510	194379	223473	201530	234539	224897	165462	193871	270012	240193	253655	224073	205291	215126	189591	195054	187161	222024	223897	194440	171426	122634	159938	107124	106768	117260	144286	180051	124973	116875	134060	237750	87958	97738	67934	99367	140142	167138	188378	176472	175070	179195	160387	121976
25	1.266	73.6227	107067	155549	116365	74322	144677	156833	153202	88376	124339	130740	124432	138653	160538	89702	80343	118907	134247	93286	79404	126756	111658	158848	93445	65831	150798	64418	80952	74804	69186	69092	123467	121272	57317	71605	82403	122278	59372	55247	54698	47782	66055	73461	130321	60382	90436	103389	78906	68523
26	1.285	74.03192	16208506	20142398	20354830	19234728	19199428	19187278	18178520	18108854	20057392	19822604	19827614	19378052	20816808	19509616	19795172	18506564	17401338	17681680	18529636	18265862	19375716	18556176	19098700	19500716	14202427	11538509	13219532	11530862	10746113	11973473	13257706	13758449	12373989	12008970	11357447	14119791	9521181	9769658	7929530	9314564	10636872	12777153	13973946	13529270	13806778	14823601	13089184	14197713
27	1.651	74.05946	213551	412513	574534	516412	589644	603832	649464	608479	437528	548060	618039	420838	627016	663716	564355	601170	756774	516417	468777	476503	454885	460155	491442	522324	245280	309258	322336	315755	385662	365408	320451	339759	369839	343786	337029	303977	339952	367541	347529	312453	352087	326326	247073	335906	305992	265113	320155	325517
28	1.703	74.05947	251228	447294	607499	538279	589644	603832	649464	608479	437528	548060	618039	434256	627016	663716	582926	601170	756774	516417	479135	491743	471732	476543	491442	522324	226524	309258	322336	315755	385662	321227	291276	339759	331859	262334	286172	242696	315691	326938	345325	289029	323912	326326	241014	335906	277377	265113	320155	325517
29	1.817	81.06904	5526	3813	1804	1416	1505	2787	4038	1893	4795	4719	1692	3365	3294	3482	1767	3879	3912	4687	1729	2982	1214	1580	3961	1181	146346	278741	165298	177593	127005	270765	382905	179164	218522	257647	218139	236225	87906	134610	112736	358149	275258	169936	365165	86838	208891	363658	236834	266080
30	17.219	81.06918	4352	2250	671	1088	2319	2314	1444	1552	3439	3846	3441	3280	1634	3683	2048	1128	3334	2270	3633	1494	2590	1495	1486	1967	1781793	923270	1382732	974508	1635017	1352507	696703	911609	1353416	685640	826618	476699	1782343	768250	1048896	1736736	937607	1177216	687987	817752	3107403	810687	289555	1076570
31	1.337	81.52004	16038069	22148314	21513762	17710842	17019984	26034490	24417946	27398282	27247758	25433678	25290762	642673	18289054	19093560	25338650	23384168	19092820	16833316	21575638	15734623	709743	25309856	15252607	17253862	2202476	2740830	2065126	509876	17821544	11566866	10662940	13253287	18191214	14027860	19234616	540490	17000542	13816425	17450464	18131364	13439650	9550290	3046080	151916	2045970	2664924	136054	8463564
32	1.281	82.01318	1373959	1292846	1472564	1379748	1249934	1329527	1202844	1107629	1306670	1281581	1235934	1377825	1344960	1297686	1328278	1339814	1145522	1269919	1301164	1314230	1394328	1305737	1374956	1355188	1264581	1117932	1110749	1118244	812404	1035888	1177442	1096443	1033462	833748	872139	1394566	689207	794218	594600	721558	866240	1135293	1321334	1322642	1161751	1354096	1199459	1239945
33	1.266	82.53639	26625750	25565194	26617012	24741170	27599492	23415864	22936104	26340194	19004780	22686312	23222236	25736406	25283098	23124412	27728754	23214390	24674866	22117944	23865776	28521002	24855118	24720678	26495328	25404382	16812820	17774572	19424862	18188008	15116182	17092628	18833144	19446002	18210806	17083994	15985197	19519970	13551058	13975834	11188846	13513477	15563167	17826394	20199412	20563088	20002810	21409296	19673914	20108406
34	1.317	82.53648	26628596	29919816	30395776	28106740	27611520	27504812	25734704	26340194	22780206	26576448	27315484	29282022	29721096	28206246	30856018	26319306	24674866	25252238	27127042	28533438	29220974	28451856	30538552	29375554	16817426	17764658	19430308	18192718	15119713	17094868	18818084	19440710	18228696	15346510	15980036	19519970	13496452	13961666	9172122	11129823	15564791	17827380	19999498	20563088	20007650	20413334	19659464	20110382
35	1.31	82.5444	242376	388830	403902	396678	217699	459952	197788	408451	288574	162545	318935	647566	424129	232039	465480	504911	113369	341717	107670	452097	151585	443327	396498	240759	262304	322700	277364	319120	275281	272585	350756	316920	317521	276312	274067	224537	161163	172958	139082	139441	241478	197352	334354	232074	442935	318305	425081	362387
36	17.254	83.05958	130386	204959	189079	225882	225873	146484	292164	173119	192199	248816	136518	164282	213694	197931	288016	280969	263850	220150	226072	196006	177724	261723	145297	221042	68882	48114	70096	45305	66820	49975	48345	96864	43409	51834	50374	75659	53202	42207	34039	48755	48206	38674	64071	59356	83272	50811	41044	43690
37	1.323	83.51624	125034	175543	200695	179051	189521	293694	231783	382251	295530	197210	312923	146515	145598	210811	329939	283783	214294	107376	248191	125281	156392	307826	157962	131216	0	17514	22324	0	319115	83897	87920	148256	170318	146576	287461	5664	339216	183607	321201	358703	141431	74399	12297	0	14590	15235	0	60531
38	1.271	84.01044	77294	71069	68997	59090	67244	59060	61060	53013	65647	100071	69502	68248	73958	71801	38185	52688	48333	51128	58814	66746	60182	46752	75760	80079	71853	54022	59837	61995	49165	68610	49106	63999	50679	36894	44075	65408	42692	48349	25994	47767	32764	44794	74764	66909	69459	55757	54156	57300
39	1.547	84.04366	45108	11453	22467	42445	36030	40322	26393	26830	16272	28949	46449	10178	30422	43305	24613	62499	25682	39822	22965	22667	18944	24825	45632	20679	301811	439904	353113	402405	255706	352594	297380	278700	413922	237363	412725	217720	382477	417799	526867	426291	274778	491749	359806	538560	254119	322147	462278	353859
40	1.629	85.02766	116641	51527	90361	86173	88989	99031	111632	105789	98069	84158	86219	107700	104216	103403	80907	75936	131478	89473	74304	96044	99281	85247	83489	98450	269162	204889	200740	179484	217501	223533	237321	278043	225807	240084	257994	200584	301009	288977	264072	225418	240517	211869	190395	206353	180689	173955	177996	204138
41	12.774	85.02766	91858	82827	65997	69952	75997	46776	87794	110964	61280	97237	53894	73752	92282	79394	104337	80317	114012	42795	89752	63504	65883	125575	88637	91469	5328	5604	6000	4051	7675	5089	3918	6465	6992	3373	6438	4783	9076	5319	5088	6077	3463	5251	6029	6939	4492	5092	6745	8715
42	1.835	85.06399	35827	19474	36468	27838	20806	17935	17674	23352	12209	8958	21084	30922	16940	23905	13117	19537	31164	27743	27768	23061	21484	18425	20966	18533	131697	114391	137376	130944	97625	95269	108942	101428	104454	145008	105583	89544	90329	105802	88630	114012	100726	70360	125991	112586	168855	146103	104570	117654
43	12.988	85.06401	8057	11231	7407	11924	10993	8496	9045	10936	10906	8656	12141	11413	6144	8998	7948	7829	6140	7312	10787	10047	14809	14367	9186	12104	64206	132583	100162	124150	125246	85247	111873	88666	101804	78294	100373	98944	96201	111924	117036	135253	90483	114899	159367	104584	138802	108754	81279	111542
44	1.782	86.09576	39660	87439	70598	101340	81984	81870	56306	144615	109813	108970	220791	140538	85432	214634	95628	56886	45044	105980	83336	206794	204218	67315	167217	70869	29504	44678	35744	40749	39152	54727	46519	98088	65848	52317	56673	35301	94049	59061	128840	98868	63634	33989	40012	53652	33698	38312	46205	42204
45	1.288	89.00758	1341344	674780	488369	280612	331901	1441671	1387770	1578040	2017793	1222614	2150290	135881	2700582	2240547	2196626	1870784	458972	552922	1084769	947329	962416	2084707	774325	596446	1311319	1714257	1131957	671861	1365007	1597803	2142112	2519849	1836411	2046760	2460740	437897	2834514	3614116	3251273	3364726	1667701	1184747	1160056	988266	1721024	2163540	1159310	1492539
46	1.339	89.00763	1635746	783374	488369	332689	331901	1441671	1387770	1578040	2256946	1351612	2150290	162289	2700582	2240547	2196626	1870784	458972	552922	1084769	947329	962416	2084707	899985	653179	1267812	1346392	858757	481204	1073306	1301604	2138048	2519849	1836411	1628065	2460740	437897	2115756	2788172	3248467	2453110	1571918	938011	932099	988266	1721024	2163540	1159310	1487322
47	1.754	89.05897	2977	1890	7852	8538	3110	6113	4028	5704	4005	2122	2416	5115	5462	6033	3443	3291	8140	7530	4154	3750	6326	4903	8067	4136	181681	76667	91045	117635	83741	69067	94531	78750	68255	111492	100485	135340	61730	71013	88728	89885	74964	86668	75917	97239	93948	92310	81920	103461
48	1.431	89.10663	1696	9102	0	2138	19291	35554	46522	3554	6251	143178	34119	5012	28365	11032	13696	4845	0	4702	5448	9190	131557	0	20704	2246	59228	66087	37014	26131	122104	255451	121104	765643	112430	240926	235289	37367	657892	1238689	1169893	615381	90552	128569	130960	15661	44642	82002	17039	52527
49	1.528	90.05421	295032	129205	269440	492829	302410	232409	87030	189038	167672	131343	607900	131426	60458	436752	125088	673927	63736	389881	318995	793784	252650	159819	355251	160001	383061	283303	344558	162852	203898	316411	333642	289261	521915	308093	461887	265810	391427	423607	342165	350931	335340	553856	351890	377429	142030	266591	496409	326661
50	1.607	90.05436	328431	172599	341026	566844	380774	283024	87030	252962	221407	193776	763342	167395	98039	583346	175280	823365	84901	482342	378004	793784	301020	221422	469749	214292	383061	222145	315217	154672	175602	284116	237281	230548	362685	266687	394147	263904	328569	340433	286048	287292	246166	480484	270973	379213	102201	202765	431820	299977
51	1.33	90.52509	1627468	1965818	1779056	1673162	1454100	2373179	2257320	2519542	1441501	1638489	1905405	1265556	1276031	1387097	1982926	1862480	1507877	1376284	1843624	1428931	1442347	2334122	1204492	1193298	65069	114589	76082	31186	1999789	889675	803427	1103155	1499914	1048451	1724224	30672	2116557	1176588	1725340	1822863	1096829	691563	115188	8999	68535	153033	3390	496437
52	1.458	90.5252	2241956	3427974	2516527	2457474	2087022	3070142	2728500	2968961	2311001	2828926	2522433	2171618	2072388	2121970	3046344	2697138	1929121	1968246	2764061	2007298	2311987	3028549	2104774	2277385	30058	30736	19460	9699	290530	155924	243448	273220	424006	215469	333875	13100	347891	318384	562177	315585	397758	129436	32665	5919	27551	76697	3372	159489
53	1.343	91.01704	579555	697374	606038	397033	406968	765754	668057	589420	699933	666601	717543	340494	445484	434678	669718	614199	535078	441087	620533	431680	483442	723282	394182	469152	162191	136216	126489	108351	544490	281038	257646	356253	557658	483166	661554	161659	742558	356774	591330	627159	392426	354343	143359	141948	142241	153922	137962	257057
54	1.301	91.01715	579555	697374	606038	397033	406968	765754	668057	589420	632353	575575	641818	340494	445484	402026	587753	614199	535078	441087	614422	435482	483442	723282	394182	424080	266731	194072	209938	161996	669025	358884	257646	356253	557658	483166	661554	221664	742558	431919	656078	866712	528901	354343	188275	212658	205025	200090	189724	299821
55	13.453	91.05346	133977	249397	71349	143584	80694	30320	117694	96406	37394	148415	93064	85422	38526	112156	104752	20894	91119	51882	271066	138967	121225	52013	58886	317790	7973	7136	8179	6811	1090	1116	2282	2549	989	3322	2075	3200	1881	1587	1407	2294	2249	1196	14547	54131	4674	10961	5964	3342
56	1.277	94.01799	87524	58904	87494	115338	120377	105732	80807	68914	60958	106087	98927	76498	114026	99817	77038	82678	39437	37062	79838	89104	80276	69955	79405	93719	44427	28525	51525	58850	40508	69223	59252	67290	35811	48376	25546	66633	24874	32883	27531	36189	41696	51512	57960	63818	69439	70545	51582	48344
57	1.275	94.02612	165415	179192	210536	150141	124870	170346	103835	162204	106788	270638	142905	190057	164644	195641	215360	224564	222606	119705	171527	118172	142430	151863	193339	154603	97631	88657	198637	115015	99415	122709	263485	95330	119140	83452	102882	131658	43363	107810	36538	64430	92599	89583	117760	97434	112609	119851	149876	161505
58	1.29	94.04444	35444996	42142620	44015544	41363444	40857280	40458296	39270284	39429424	40391544	43835676	42429540	41684688	45302320	42498348	45722080	41228808	38306820	37820148	39844152	39236412	43291212	39559256	41651684	42663096	25458806	23189088	26154244	22844616	21070130	23742442	26953072	27751030	24419670	24721264	22476534	27987224	18590534	20110282	15677890	18505076	21610516	24969892	27771834	27081794	28163736	30630692	26649382	28652210
59	1.275	94.0562	154949	343253	330012	395063	310064	291332	274251	342518	396552	322510	425931	488626	372791	223161	526964	311190	229199	172620	281453	415114	461668	268678	207158	262116	118769	113939	256301	242965	173709	215056	73754	274894	196092	169912	233053	217631	171758	76925	163220	78782	157255	257838	104455	163684	114685	287873	197872	299010
60	1.271	94.06759	85343	123598	112285	104578	126806	114956	89546	99747	100410	119366	100048	100976	175178	84183	128662	162005	107220	93787	78862	136445	145670	61831	97799	88770	60893	61251	63419	53626	54265	58541	64318	80054	58758	50680	46993	77311	42289	59651	24930	17428	65932	74722	74712	73444	74635	83669	56158	60765
61	18.757	95.08471	3153	2746	2303	2939	3054	2340	2546	2916	2710	2537	2742	2993	2280	1621	3318	2783	2751	2463	2923	3613	1615	2942	3696	3216	261792	116969	152700	132196	153316	142668	113082	111496	189202	142410	184944	95247	188342	97382	145142	193245	190857	173582	91872	163342	191318	78858	96766	104089
62	1.561	96.07989	2375	0	0	0	0	0	0	0	0	663	0	0	3535	0	0	0	0	0	584	0	0	1557	0	0	220259	384919	373550	289950	315703	305747	425519	219037	273017	246767	156598	256156	179408	172277	211394	330940	258866	286117	447062	261704	505739	466563	307548	345838
63	2.035	96.0799	449	0	1223	0	839	0	1733	0	0	0	940	1322	518	0	0	0	0	1133	209	174	0	648	297	0	503524	633249	444698	627994	665592	573614	671293	523281	520855	464399	385285	479963	474185	269636	512693	642799	410724	406241	894012	645183	999607	597747	220104	643274
64	1.634	97.02757	16973	20168	27340	25762	23092	36246	21984	30569	32408	29777	20602	24966	22411	21087	20235	21095	32658	24119	26099	23376	26705	18534	27247	20841	100811	82086	77887	63529	75194	79159	66576	89084	75197	87082	87306	68938	102581	95373	80607	72620	70347	74940	58039	70988	58598	49939	53781	73054
65	1.83	98.0956	5254	1971	1728	2024	2080	3476	214	0	1811	0	0	4047	1901	480	1538	0	790	5912	2750	2132	1994	2344	322	1675	1474699	2332326	1428500	1796447	1342363	2537301	3414586	1733934	1978939	2253764	2368624	2468518	940406	1380494	1129278	3369270	2434590	1549145	3317874	952713	2014322	3430500	2066056	2090421
66	1.514	98.0957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	3279	1986	0	0	0	0	563520	1182538	756567	906481	1037894	1132705	1607574	872227	946039	1097940	1327192	1282428	541617	676458	523457	1569298	1720778	737132	1630124	509616	1114063	1909396	865480	986036
67	1.328	98.97461	86626	87034	110384	58117	106524	107398	119065	134696	117315	145390	108642	42239	50461	68853	97780	69524	57140	65701	111491	76144	42240	140178	62737	74023	2404	7050	5626	0	231756	69462	49159	81420	138319	83179	158895	0	231031	116452	199052	242326	89224	53316	13259	0	7635	6969	0	37741
68	1.64	98.98348	3020	3671	12659	23239	10418	21045	34317	19875	12478	19034	5271	12555	17195	3920	3358	12461	262772	11724	13427	4378	1467	17410	430	10340	5094140	5684941	6574446	6775590	4888352	4725078	3049537	3237871	3751791	4888711	3091788	5584306	1854464	1072901	1211714	1669138	5432980	4170800	4871882	4590354	6893148	7687729	4400143	5293374
69	1.584	100.11127	98811	74619	103348	113917	117282	115840	162868	116176	104400	104505	107847	116715	112581	113942	101177	120778	155448	118814	120014	108258	98026	118682	84860	102768	605993	1346223	1440983	1581876	1653956	2465728	2061341	1619900	1429023	910343	2060022	1578368	456771	604326	613938	1324378	1220816	917946	1854678	551019	1378992	2937928	4890570	2879941
70	1.922	100.11133	470934	417085	489646	469413	431549	499078	465438	460974	447293	456345	506022	498997	460852	478692	463056	490437	502736	434928	470456	449696	434434	432745	418718	465903	204081	260834	289903	291100	310564	304732	281059	299581	288595	253807	324449	253794	268705	249375	253922	231179	246802	234857	215824	238632	168308	283219	562574	359207
71	1.274	101.00761	119317	67171	63997	70415	68222	62090	66297	76894	81041	84772	55433	87900	60569	64669	60490	62474	55388	66314	53180	70172	64820	84107	103625	64690	121962	120313	100612	109122	59469	100726	63850	76402	105248	52146	55916	136220	66222	63395	38202	75306	92524	93787	139794	133315	70710	65209	82084	110531
72	1.596	101.05872	10907	5497	16847	20695	6662	14560	9830	19977	6591	5446	3557	9964	5231	8345	5189	10784	17219	16524	4710	12824	11902	4929	9785	12284	231029	173241	200465	136624	119599	112442	167449	132121	133957	163202	148462	234270	101178	111212	75427	123758	100199	192299	194480	140161	235238	189134	135248	172320
73	1.37	102.03315	4794092	7155681	6745638	5818107	5281316	8551118	7764650	8978213	8081252	8124628	8396088	4724466	5756145	6055035	8364233	7756890	6373142	5432563	6926296	5007713	5863052	8171477	4874512	5230448	391822	374169	352308	56681	5396798	2824638	2723684	2563356	3279379	3419614	5245734	54952	5062011	3493618	4169830	5666045	3090692	2222665	704412	17401	410159	549107	19833	1450654
74	1.319	102.03321	4294564	6818958	6747160	5676801	5281316	8548408	7764650	8978213	7870902	8124628	8396088	4558632	5756145	6053070	8364233	7756890	6373142	5432563	6901513	5007713	5642826	8171477	4874512	5230448	391822	641804	394597	61918	6682168	3335789	3173970	3871277	5179950	4115743	6121694	56625	6402937	4165010	5957345	7219105	3970054	2668799	804804	17401	444151	549107	19833	2351914
