Alignment ID	RT	m.z	2022_12_30_pos_BK_Sfery_23_08_22_B_1_230102194605	2022_12_30_pos_BK_Sfery_23_08_22_B_10_230103011005	2022_12_30_pos_BK_Sfery_23_08_22_B_11_230103014609	2022_12_30_pos_BK_Sfery_23_08_22_B_12_230103022200	2022_12_30_pos_BK_Sfery_23_08_22_B_13_230103025801	2022_12_30_pos_BK_Sfery_23_08_22_B_14_230103033403	2022_12_30_pos_BK_Sfery_23_08_22_B_15_230103040949	2022_12_30_pos_BK_Sfery_23_08_22_B_16_230103044539	2022_12_30_pos_BK_Sfery_23_08_22_B_17_230103104719	2022_12_30_pos_BK_Sfery_23_08_22_B_18_230103112325	2022_12_30_pos_BK_Sfery_23_08_22_B_19_230103115923	2022_12_30_pos_BK_Sfery_23_08_22_B_2_230102202209	2022_12_30_pos_BK_Sfery_23_08_22_B_20_230103123513	2022_12_30_pos_BK_Sfery_23_08_22_B_21_230103131115	2022_12_30_pos_BK_Sfery_23_08_22_B_22_230103134708	2022_12_30_pos_BK_Sfery_23_08_22_B_23_230103142309	2022_12_30_pos_BK_Sfery_23_08_22_B_24_230103145912	2022_12_30_pos_BK_Sfery_23_08_22_B_3_230102205812	2022_12_30_pos_BK_Sfery_23_08_22_B_4_230102213401	2022_12_30_pos_BK_Sfery_23_08_22_B_5_230102221005	2022_12_30_pos_BK_Sfery_23_08_22_B_6_230102224606	2022_12_30_pos_BK_Sfery_23_08_22_B_7_230102232155	2022_12_30_pos_BK_Sfery_23_08_22_B_8_230102235759	2022_12_30_pos_BK_Sfery_23_08_22_B_9_230103003402	2022_12_30_pos_BK_Sfery_23_08_22_S_1_230102052256	2022_12_30_pos_BK_Sfery_23_08_22_S_10_230102104704	2022_12_30_pos_BK_Sfery_23_08_22_S_11_230102112253	2022_12_30_pos_BK_Sfery_23_08_22_S_12_230102115852	2022_12_30_pos_BK_Sfery_23_08_22_S_13_230102123442	2022_12_30_pos_BK_Sfery_23_08_22_S_14_230102131027	2022_12_30_pos_BK_Sfery_23_08_22_S_15_230102134615	2022_12_30_pos_BK_Sfery_23_08_22_S_16_230102142204	2022_12_30_pos_BK_Sfery_23_08_22_S_17_230102145755	2022_12_30_pos_BK_Sfery_23_08_22_S_18_230102153356	2022_12_30_pos_BK_Sfery_23_08_22_S_19_230102160945	2022_12_30_pos_BK_Sfery_23_08_22_S_2_230102055859	2022_12_30_pos_BK_Sfery_23_08_22_S_20_230102164549	2022_12_30_pos_BK_Sfery_23_08_22_S_21_230102172152	2022_12_30_pos_BK_Sfery_23_08_22_S_22_230102175755	2022_12_30_pos_BK_Sfery_23_08_22_S_23_230102183359	2022_12_30_pos_BK_Sfery_23_08_22_S_24_230102191002	2022_12_30_pos_BK_Sfery_23_08_22_S_3_230102063503	2022_12_30_pos_BK_Sfery_23_08_22_S_4_230102071102	2022_12_30_pos_BK_Sfery_23_08_22_S_5_230102074705	2022_12_30_pos_BK_Sfery_23_08_22_S_6_230102082309	2022_12_30_pos_BK_Sfery_23_08_22_S_7_230102085912	2022_12_30_pos_BK_Sfery_23_08_22_S_8_230102093513	2022_12_30_pos_BK_Sfery_23_08_22_S_9_230102101113
289	18.749	177.16278	13935	25960	4533	29260	11567	23041	8945	14014	8605	25928	7579	21066	7052	13123	12253	16199	54041	11092	26217	33530	91067	9076	52663	24257	142160	54676	70771	70565	87269	65642	50290	61110	111668	73284	118544	51871	102944	51203	73629	122139	103076	96401	45514	74339	108072	35114	46329	48473
290	14.058	179.0692	13745	14901	14677	16542	12917	12819	16038	15205	14756	11600	14790	12370	9228	15420	11854	15702	12630	20028	14033	13656	20827	13524	12646	11387	193001	36960	170663	44921	133425	86202	115532	66855	119450	105251	136821	24151	94670	50276	97980	26663	109206	113905	24435	72301	90547	69718	69009	48694
291	13.493	179.14198	5267	4613	1742	2535	0	222	701	2550	661	325	1544	2631	268	1097	384	588	2384	4422	2768	5337	2790	1215	3815	259	543739	587858	612170	527763	449622	448835	560511	521389	415500	453470	409704	531525	331294	295358	414191	660713	429843	370345	887895	646112	654596	24446	614165	756807
292	18.755	179.1422	1842	542	1403	295	1001	1540	279	1101	599	94	0	1682	166	106	341	430	343	1281	1223	1033	649	1330	528	529	945336	368105	591891	461951	569558	473312	378432	409664	678057	510486	673234	382299	692473	371808	506352	697748	658508	668240	313838	584425	688598	273564	338801	379221
293	3.71	180.10112	156050	180356	148727	433936	323895	245328	108778	165315	51557	115294	586396	259592	99152	553379	225772	131093	171547	248285	169011	264361	211375	66108	251344	171106	2687	5444	1857	7076	1026	2532	5408	4113	3328	654	4212	2569	6251	2936	5017	2760	1637	298	9442	4503	2327	1817	5147	5499
294	1.333	181.02751	274244	270044	358653	297188	288729	501754	384060	472374	442796	420434	386577	199712	281722	341401	376268	380987	282832	223175	384865	237506	239842	410311	185928	223620	20226	27913	19433	2612	480352	180947	172181	217876	297045	188568	436515	0	567342	243720	428497	569751	215586	157446	34948	0	21413	39025	544	139175
295	1.305	181.02791	274244	270044	358653	297188	288729	501754	384060	472374	442796	420434	386577	199712	228962	341401	376268	380987	282832	223175	384865	237506	239842	410311	185928	223620	20226	35143	19433	2612	480352	180947	172181	217876	297045	188568	436515	0	567342	243720	446205	569751	223122	162627	46577	0	26314	39025	0	139175
296	2.657	181.04865	335855	216026	331833	328881	281650	284912	315680	405698	324512	298161	291466	148696	233445	258587	404983	76144	390545	125143	142317	286914	196333	353834	196434	282594	5985	4941	6422	4572	3486	4122	3535	1386	2041	3038	1966	5441	2119	2233	2639	2069	8155	7374	2420	8907	2158	3278	2534	6297
297	3.462	181.04866	60073	57784	51551	72449	65183	109634	69413	79196	76656	69589	88052	79002	40792	32388	100357	61099	150712	85234	113758	64773	62142	94407	48964	57359	247313	180400	668666	700308	474064	260906	361721	165047	318716	101291	77226	129023	192600	88928	117534	109630	318775	220824	228771	592069	248305	85889	768711	855814
298	11.862	181.08511	9158	10585	12228	7334	11386	6320	14793	5514	6698	8468	5577	9516	7690	4660	7700	7311	2838	7270	4914	9701	7228	4805	5327	9898	1416550	1059366	1151682	1454592	910010	902929	954688	600861	883657	987441	729400	692334	622629	582981	709783	934653	914533	1110536	835536	970354	1230876	1253232	1265542	958648
